Fuel Type Code,Station Name,Street Address,City,State,Status Code,Groups With Access Code,EV Level2 EVSE Num,EV DC Fast Count,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,ID,Updated At,Open Date,EV Connector Types,Country,Access Code,Facility Type,EV Pricing,Restricted Access
ELEC,Icon Parking 101 West End Ave - Tesla Destination,101 West End Ave,New York,NY,E,Public,3.0,0.0,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.775188,-73.988501,114994,2021-03-11 23:22:17 UTC,2018-11-01,J1772 TESLA,US,public,PAY_GARAGE,Free,False
ELEC,ABM Parking 475 Park Ave South LLC - Tesla Destination,104  E 32nd St,New York,NY,E,Public,2.0,0.0,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.745497,-73.98208,114995,2021-03-11 23:22:17 UTC,2017-09-01,TESLA,US,public,PAY_GARAGE,Free,False
ELEC,Rapidpark 99 Park Ave - Tesla Destination,105 E 39th,New York,NY,E,Public,3.0,0.0,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.750254,-73.978627,114996,2021-03-11 23:22:17 UTC,2018-11-01,J1772 TESLA,US,public,PAY_GARAGE,Free,False
ELEC,iPark 107 West 13th Street - Tesla Destination,107 W 13th St,New York,NY,E,Public,3.0,0.0,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.737094,-73.997754,114997,2021-03-11 23:22:17 UTC,2018-11-01,J1772 TESLA,US,public,PAY_GARAGE,Free,False
ELEC,Icon Parking 11 5th Ave - Tesla Destination,11 5th Ave,New York,NY,E,Public,3.0,0.0,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.732257,-73.99608,114998,2021-03-11 23:22:17 UTC,2016-01-01,J1772 TESLA,US,public,PAY_GARAGE,Free,False
ELEC,iPark NYC 1025 83rd - Tesla Destination,11 E 83rd St,New York,NY,E,Public,3.0,0.0,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.779468,-73.961086,114999,2021-03-11 23:22:17 UTC,2016-03-01,J1772 TESLA,US,public,PAY_GARAGE,Free,False
ELEC,GMC 111 E 82nd St - Tesla Destination,111 E 82nd St,New York,NY,E,Public,3.0,0.0,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.777545,-73.958471,115000,2021-03-11 23:22:17 UTC,2016-12-15,J1772 TESLA,US,public,PAY_GARAGE,Free,False
ELEC,iPark 112 E 65th Street - Tesla Destination,112 E 65th St,New York,NY,E,Public,3.0,0.0,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.766174,-73.966419,115001,2021-03-11 23:22:17 UTC,2018-11-01,J1772 TESLA,US,public,PAY_GARAGE,Free,False
ELEC,Quik Park 1133 Garage LLC - Tesla Destination,1133 6th Ave,New York,NY,E,Public,3.0,0.0,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.756071,-73.98392,115002,2021-03-11 23:22:17 UTC,2015-04-01,J1772 TESLA,US,public,PAY_GARAGE,Free,False
ELEC,iPark 1510 Lex Garage Corp. - Tesla Destination,116 E 98th St,New York,NY,E,Public,3.0,0.0,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.787343,-73.951003,115003,2021-03-11 23:22:17 UTC,2017-03-01,TESLA,US,public,PAY_GARAGE,Free,False
