ID,SiteID,ObservationTimeUTC,Value
562056,36061NY09734,2024-06-01 10:00:00.000,7.7
562057,36061NY08552,2024-06-01 11:00:00.000,9.12
562058,36005NY12387,2024-06-01 11:00:00.000,8.05
562059,36061NY08454,2024-06-01 11:00:00.000,8.44
562060,36061NY09734,2024-06-01 11:00:00.000,8.27
562061,36081NY08198,2024-06-01 11:00:00.000,6.49
562062,36005NY11534,2024-06-01 11:00:00.000,8.64
562063,36061NY08653,2024-06-01 11:00:00.000,9.97
562064,36081NY07615,2024-06-01 11:00:00.000,7.36
562065,36061NY12380,2024-06-01 11:00:00.000,7.08
562076,36085NY04805,2024-06-01 11:00:00.000,8.73
562077,36061NY08552,2024-06-01 12:00:00.000,10.69
562078,36005NY12387,2024-06-01 12:00:00.000,8.32
562079,36061NY08454,2024-06-01 12:00:00.000,11.69
562080,36061NY09734,2024-06-01 12:00:00.000,8.86
562081,36081NY08198,2024-06-01 12:00:00.000,6.97
562082,36005NY11534,2024-06-01 12:00:00.000,8.87
562083,36081NY07615,2024-06-01 12:00:00.000,7.9
562084,36061NY12380,2024-06-01 12:00:00.000,8.99
562085,36085NY04805,2024-06-01 12:00:00.000,8.14
562096,36061NY08653,2024-06-01 12:00:00.000,8.94
562097,36061NY08552,2024-06-01 13:00:00.000,9.62
562098,36061NY09734,2024-06-01 13:00:00.000,8.56
562099,36081NY08198,2024-06-01 13:00:00.000,7.49
562100,36005NY11534,2024-06-01 13:00:00.000,10.39
562101,36061NY12380,2024-06-01 13:00:00.000,8.36
562112,36005NY12387,2024-06-01 13:00:00.000,7.57
562113,36061NY08454,2024-06-01 13:00:00.000,14.42
562114,36061NY08653,2024-06-01 13:00:00.000,8.72
562115,36081NY07615,2024-06-01 13:00:00.000,7.36
562116,36085NY04805,2024-06-01 13:00:00.000,8.6
562117,36061NY08552,2024-06-01 14:00:00.000,9.39
562118,36005NY12387,2024-06-01 14:00:00.000,7.4
562119,36061NY08454,2024-06-01 14:00:00.000,12.98
562120,36061NY09734,2024-06-01 14:00:00.000,8.77
562121,36081NY08198,2024-06-01 14:00:00.000,8.87
562122,36005NY11534,2024-06-01 14:00:00.000,12.02
562123,36081NY07615,2024-06-01 14:00:00.000,7.77
562124,36061NY12380,2024-06-01 14:00:00.000,8.05
562135,36061NY08653,2024-06-01 14:00:00.000,9.56
562136,36085NY04805,2024-06-01 14:00:00.000,8.75
562137,36061NY08552,2024-06-01 15:00:00.000,9.79
562138,36081NY08198,2024-06-01 15:00:00.000,10.91
562139,36005NY11534,2024-06-01 15:00:00.000,14.13
562140,36061NY12380,2024-06-01 15:00:00.000,7.58
562151,36061NY08653,2024-06-01 15:00:00.000,9.37
562152,36081NY07615,2024-06-01 15:00:00.000,8.87
562153,36085NY04805,2024-06-01 15:00:00.000,8.71
562154,36005NY12387,2024-06-01 15:00:00.000,6.89
562155,36061NY08454,2024-06-01 15:00:00.000,18.03
562156,36061NY09734,2024-06-01 15:00:00.000,9.85
562157,36061NY08552,2024-06-01 16:00:00.000,9.31
562158,36005NY12387,2024-06-01 16:00:00.000,8.47
562159,36061NY08454,2024-06-01 16:00:00.000,12.59
562160,36081NY08198,2024-06-01 16:00:00.000,5.32
562161,36005NY11534,2024-06-01 16:00:00.000,8.56
562162,36081NY07615,2024-06-01 16:00:00.000,8.74
562163,36061NY12380,2024-06-01 16:00:00.000,8.92
562174,36061NY09734,2024-06-01 16:00:00.000,9.2
562175,36061NY08653,2024-06-01 16:00:00.000,9.69
562176,36085NY04805,2024-06-01 16:00:00.000,9.01
562177,36061NY08552,2024-06-01 17:00:00.000,9.1
562178,36005NY12387,2024-06-01 17:00:00.000,9.15
562179,36061NY08454,2024-06-01 17:00:00.000,10.77
562180,36081NY08198,2024-06-01 17:00:00.000,4.75
562181,36005NY11534,2024-06-01 17:00:00.000,9.4
562182,36081NY07615,2024-06-01 17:00:00.000,10.12
562183,36061NY12380,2024-06-01 17:00:00.000,9.18
562194,36061NY09734,2024-06-01 17:00:00.000,9.62
562195,36061NY08653,2024-06-01 17:00:00.000,9.65
562196,36085NY04805,2024-06-01 17:00:00.000,7.8
562197,36061NY08552,2024-06-01 18:00:00.000,9.63
562198,36005NY12387,2024-06-01 18:00:00.000,9.75
562199,36061NY08454,2024-06-01 18:00:00.000,10.91
562200,36061NY09734,2024-06-01 18:00:00.000,10.26
562201,36081NY08198,2024-06-01 18:00:00.000,5.29
562202,36005NY11534,2024-06-01 18:00:00.000,9.7
562203,36081NY07615,2024-06-01 18:00:00.000,10.04
562204,36061NY12380,2024-06-01 18:00:00.000,10.0
562215,36061NY08653,2024-06-01 18:00:00.000,8.97
562216,36085NY04805,2024-06-01 18:00:00.000,5.8
562217,36061NY08552,2024-06-01 19:00:00.000,9.95
562218,36061NY09734,2024-06-01 19:00:00.000,10.14
562219,36081NY08198,2024-06-01 19:00:00.000,5.23
562220,36005NY11534,2024-06-01 19:00:00.000,9.35
562221,36081NY07615,2024-06-01 19:00:00.000,10.16
562222,36061NY12380,2024-06-01 19:00:00.000,10.69
562232,36005NY12387,2024-06-01 19:00:00.000,10.0
562233,36061NY08454,2024-06-01 19:00:00.000,12.12
562234,36061NY08653,2024-06-01 19:00:00.000,8.83
562235,36085NY04805,2024-06-01 19:00:00.000,5.85
562236,36061NY08552,2024-06-01 20:00:00.000,10.76
562237,36005NY12387,2024-06-01 20:00:00.000,9.77
562238,36061NY08454,2024-06-01 20:00:00.000,11.57
562239,36061NY09734,2024-06-01 20:00:00.000,10.71
562240,36081NY08198,2024-06-01 20:00:00.000,8.15
562241,36005NY11534,2024-06-01 20:00:00.000,9.58
562242,36081NY07615,2024-06-01 20:00:00.000,9.32
562243,36061NY12380,2024-06-01 20:00:00.000,11.28
562244,36085NY04805,2024-06-01 20:00:00.000,8.19
562255,36061NY08653,2024-06-01 20:00:00.000,9.85
562256,36061NY08552,2024-06-01 21:00:00.000,11.4
562257,36005NY12387,2024-06-01 21:00:00.000,9.4
562258,36061NY08454,2024-06-01 21:00:00.000,10.39
562259,36081NY08198,2024-06-01 21:00:00.000,8.49
562260,36005NY11534,2024-06-01 21:00:00.000,9.27
562261,36081NY07615,2024-06-01 21:00:00.000,7.8
562262,36061NY12380,2024-06-01 21:00:00.000,11.48
562273,36061NY09734,2024-06-01 21:00:00.000,11.21
562274,36061NY08653,2024-06-01 21:00:00.000,10.19
562275,36085NY04805,2024-06-01 21:00:00.000,9.87
562276,36061NY08552,2024-06-01 22:00:00.000,11.04
562277,36005NY12387,2024-06-01 22:00:00.000,9.64
562278,36061NY08454,2024-06-01 22:00:00.000,10.8
562279,36061NY09734,2024-06-01 22:00:00.000,11.97
562280,36081NY08198,2024-06-01 22:00:00.000,7.82
562281,36005NY11534,2024-06-01 22:00:00.000,10.07
562282,36081NY07615,2024-06-01 22:00:00.000,6.71
562283,36061NY12380,2024-06-01 22:00:00.000,11.07
562294,36061NY08653,2024-06-01 22:00:00.000,10.83
562295,36085NY04805,2024-06-01 22:00:00.000,10.42
562296,36061NY08552,2024-06-01 23:00:00.000,11.87
562297,36005NY12387,2024-06-01 23:00:00.000,10.11
562298,36061NY08454,2024-06-01 23:00:00.000,15.17
562299,36081NY08198,2024-06-01 23:00:00.000,7.28
562300,36005NY11534,2024-06-01 23:00:00.000,9.57
562301,36061NY12380,2024-06-01 23:00:00.000,11.88
562312,36061NY09734,2024-06-01 23:00:00.000,11.8
562313,36061NY08653,2024-06-01 23:00:00.000,11.62
562314,36081NY07615,2024-06-01 23:00:00.000,7.71
562315,36085NY04805,2024-06-01 23:00:00.000,17.94
562316,36061NY08552,2024-06-02 00:00:00.000,12.44
562317,36005NY12387,2024-06-02 00:00:00.000,11.57
562318,36061NY08454,2024-06-02 00:00:00.000,14.98
562319,36081NY08198,2024-06-02 00:00:00.000,8.45
562320,36005NY11534,2024-06-02 00:00:00.000,10.88
562321,36061NY08653,2024-06-02 00:00:00.000,11.02
562322,36061NY12380,2024-06-02 00:00:00.000,13.37
562333,36061NY09734,2024-06-02 00:00:00.000,11.52
562334,36081NY07615,2024-06-02 00:00:00.000,11.56
562335,36085NY04805,2024-06-02 00:00:00.000,11.64
562336,36061NY08552,2024-06-02 01:00:00.000,12.28
562337,36005NY12387,2024-06-02 01:00:00.000,13.06
562338,36061NY08454,2024-06-02 01:00:00.000,15.6
562339,36081NY08198,2024-06-02 01:00:00.000,8.44
562340,36005NY11534,2024-06-02 01:00:00.000,11.39
562341,36061NY08653,2024-06-02 01:00:00.000,11.28
562342,36061NY12380,2024-06-02 01:00:00.000,14.21
562353,36061NY09734,2024-06-02 01:00:00.000,12.29
562354,36081NY07615,2024-06-02 01:00:00.000,12.47
562355,36085NY04805,2024-06-02 01:00:00.000,11.34
562356,36061NY08552,2024-06-02 02:00:00.000,13.36
562357,36005NY12387,2024-06-02 02:00:00.000,13.59
562358,36061NY08454,2024-06-02 02:00:00.000,15.14
562359,36061NY09734,2024-06-02 02:00:00.000,11.82
562360,36081NY08198,2024-06-02 02:00:00.000,8.52
562361,36005NY11534,2024-06-02 02:00:00.000,11.26
562362,36061NY08653,2024-06-02 02:00:00.000,12.46
562363,36081NY07615,2024-06-02 02:00:00.000,13.32
562364,36061NY12380,2024-06-02 02:00:00.000,15.54
562365,36085NY04805,2024-06-02 02:00:00.000,12.84
562376,36061NY08552,2024-06-02 03:00:00.000,13.18
562377,36005NY12387,2024-06-02 03:00:00.000,13.89
562378,36061NY08454,2024-06-02 03:00:00.000,13.93
562379,36061NY09734,2024-06-02 03:00:00.000,11.16
562380,36081NY08198,2024-06-02 03:00:00.000,8.58
562381,36005NY11534,2024-06-02 03:00:00.000,10.33
562382,36061NY12380,2024-06-02 03:00:00.000,15.4
562393,36061NY08653,2024-06-02 03:00:00.000,12.18
562394,36081NY07615,2024-06-02 03:00:00.000,14.05
562395,36085NY04805,2024-06-02 03:00:00.000,14.92
562396,36061NY08552,2024-06-02 04:00:00.000,13.13
562397,36005NY12387,2024-06-02 04:00:00.000,12.56
562398,36081NY08198,2024-06-02 04:00:00.000,9.62
562399,36005NY11534,2024-06-02 04:00:00.000,10.27
562400,36061NY08653,2024-06-02 04:00:00.000,12.58
562401,36061NY12380,2024-06-02 04:00:00.000,12.34
562412,36061NY08454,2024-06-02 04:00:00.000,13.93
562413,36061NY09734,2024-06-02 04:00:00.000,11.26
562414,36081NY07615,2024-06-02 04:00:00.000,13.15
562415,36085NY04805,2024-06-02 04:00:00.000,15.21
562416,36061NY08552,2024-06-02 05:00:00.000,12.24
562417,36005NY12387,2024-06-02 05:00:00.000,12.12
562418,36061NY09734,2024-06-02 05:00:00.000,11.66
562419,36081NY08198,2024-06-02 05:00:00.000,8.53
562420,36005NY11534,2024-06-02 05:00:00.000,10.72
562421,36061NY08653,2024-06-02 05:00:00.000,12.5
562422,36061NY12380,2024-06-02 05:00:00.000,13.58
562423,36085NY04805,2024-06-02 05:00:00.000,14.57
562434,36061NY08454,2024-06-02 05:00:00.000,13.46
562435,36081NY07615,2024-06-02 05:00:00.000,12.35
562436,36061NY08552,2024-06-02 06:00:00.000,11.4
562437,36005NY12387,2024-06-02 06:00:00.000,13.28
562438,36061NY08454,2024-06-02 06:00:00.000,11.59
562439,36061NY09734,2024-06-02 06:00:00.000,10.3
562440,36081NY08198,2024-06-02 06:00:00.000,7.81
562441,36005NY11534,2024-06-02 06:00:00.000,10.03
562442,36061NY08653,2024-06-02 06:00:00.000,11.17
562443,36061NY12380,2024-06-02 06:00:00.000,14.64
562444,36085NY04805,2024-06-02 06:00:00.000,13.38
562455,36081NY07615,2024-06-02 06:00:00.000,10.92
562456,36061NY08552,2024-06-02 07:00:00.000,11.24
562457,36005NY12387,2024-06-02 07:00:00.000,12.5
562458,36061NY08454,2024-06-02 07:00:00.000,11.12
562459,36061NY09734,2024-06-02 07:00:00.000,9.4
562460,36081NY08198,2024-06-02 07:00:00.000,7.57
562461,36005NY11534,2024-06-02 07:00:00.000,9.28
562462,36061NY12380,2024-06-02 07:00:00.000,14.12
562463,36085NY04805,2024-06-02 07:00:00.000,12.79
562474,36061NY08653,2024-06-02 07:00:00.000,11.1
562475,36081NY07615,2024-06-02 07:00:00.000,10.52
562476,36061NY08552,2024-06-02 08:00:00.000,12.81
562477,36005NY12387,2024-06-02 08:00:00.000,12.04
562478,36061NY09734,2024-06-02 08:00:00.000,3.88
562479,36081NY08198,2024-06-02 08:00:00.000,7.84
562480,36005NY11534,2024-06-02 08:00:00.000,11.51
562481,36061NY08653,2024-06-02 08:00:00.000,10.7
562482,36061NY12380,2024-06-02 08:00:00.000,12.29
562483,36085NY04805,2024-06-02 08:00:00.000,12.96
562494,36061NY08454,2024-06-02 08:00:00.000,11.94
562495,36081NY07615,2024-06-02 08:00:00.000,10.77
562496,36061NY08552,2024-06-02 09:00:00.000,12.19
562497,36005NY12387,2024-06-02 09:00:00.000,12.25
562498,36061NY09734,2024-06-02 09:00:00.000,4.16
562499,36081NY08198,2024-06-02 09:00:00.000,7.8
562500,36005NY11534,2024-06-02 09:00:00.000,12.8
562501,36061NY08653,2024-06-02 09:00:00.000,11.46
562502,36061NY12380,2024-06-02 09:00:00.000,12.14
562503,36085NY04805,2024-06-02 09:00:00.000,14.1
562514,36081NY07615,2024-06-02 09:00:00.000,10.65
562515,36061NY08454,2024-06-02 09:00:00.000,12.91
562516,36061NY08552,2024-06-02 10:00:00.000,13.71
562517,36005NY12387,2024-06-02 10:00:00.000,12.6
562518,36061NY08454,2024-06-02 10:00:00.000,15.02
562519,36061NY09734,2024-06-02 10:00:00.000,4.44
562520,36081NY08198,2024-06-02 10:00:00.000,8.34
562521,36005NY11534,2024-06-02 10:00:00.000,13.39
562522,36061NY08653,2024-06-02 10:00:00.000,13.81
562523,36061NY12380,2024-06-02 10:00:00.000,12.36
562524,36085NY04805,2024-06-02 10:00:00.000,14.37
562535,36081NY07615,2024-06-02 10:00:00.000,11.33
562536,36061NY08552,2024-06-02 11:00:00.000,14.13
562537,36005NY12387,2024-06-02 11:00:00.000,12.3
562538,36061NY08454,2024-06-02 11:00:00.000,15.38
562539,36061NY09734,2024-06-02 11:00:00.000,4.8
562540,36081NY08198,2024-06-02 11:00:00.000,8.93
562541,36005NY11534,2024-06-02 11:00:00.000,13.95
562542,36061NY08653,2024-06-02 11:00:00.000,13.81
562543,36061NY12380,2024-06-02 11:00:00.000,13.0
562544,36085NY04805,2024-06-02 11:00:00.000,14.19
562555,36081NY07615,2024-06-02 11:00:00.000,22.9
562556,36061NY08552,2024-06-02 12:00:00.000,15.92
562557,36005NY12387,2024-06-02 12:00:00.000,12.76
562558,36061NY08454,2024-06-02 12:00:00.000,16.98
562559,36061NY09734,2024-06-02 12:00:00.000,12.0
562560,36081NY08198,2024-06-02 12:00:00.000,9.68
562561,36005NY11534,2024-06-02 12:00:00.000,14.41
562562,36061NY08653,2024-06-02 12:00:00.000,13.57
562563,36081NY07615,2024-06-02 12:00:00.000,11.57
562564,36061NY12380,2024-06-02 12:00:00.000,14.76
562565,36085NY04805,2024-06-02 12:00:00.000,14.1
562576,36061NY08552,2024-06-02 13:00:00.000,14.14
562577,36005NY12387,2024-06-02 13:00:00.000,12.11
562578,36061NY08454,2024-06-02 13:00:00.000,16.63
562579,36081NY08198,2024-06-02 13:00:00.000,8.68
562580,36005NY11534,2024-06-02 13:00:00.000,13.65
562581,36061NY08653,2024-06-02 13:00:00.000,12.88
562582,36061NY12380,2024-06-02 13:00:00.000,13.71
562583,36085NY04805,2024-06-02 13:00:00.000,12.32
562594,36061NY09734,2024-06-02 13:00:00.000,13.18
562595,36081NY07615,2024-06-02 13:00:00.000,10.79
562596,36061NY08552,2024-06-02 14:00:00.000,13.18
562597,36005NY12387,2024-06-02 14:00:00.000,11.65
562598,36061NY08454,2024-06-02 14:00:00.000,15.13
562599,36061NY09734,2024-06-02 14:00:00.000,12.25
562600,36081NY08198,2024-06-02 14:00:00.000,9.05
562601,36005NY11534,2024-06-02 14:00:00.000,15.49
562602,36061NY08653,2024-06-02 14:00:00.000,12.76
562603,36061NY12380,2024-06-02 14:00:00.000,13.45
562604,36085NY04805,2024-06-02 14:00:00.000,11.38
562615,36081NY07615,2024-06-02 14:00:00.000,11.32
562616,36061NY08552,2024-06-02 15:00:00.000,12.53
562617,36005NY12387,2024-06-02 15:00:00.000,11.14
562618,36061NY08454,2024-06-02 15:00:00.000,14.97
562619,36081NY08198,2024-06-02 15:00:00.000,10.52
562620,36005NY11534,2024-06-02 15:00:00.000,15.57
562621,36061NY12380,2024-06-02 15:00:00.000,14.24
562632,36061NY09734,2024-06-02 15:00:00.000,12.24
562633,36061NY08653,2024-06-02 15:00:00.000,12.52
562634,36081NY07615,2024-06-02 15:00:00.000,13.14
562635,36085NY04805,2024-06-02 15:00:00.000,10.81
562636,36061NY08552,2024-06-02 16:00:00.000,12.24
562637,36005NY12387,2024-06-02 16:00:00.000,11.43
562638,36061NY08454,2024-06-02 16:00:00.000,13.76
562639,36081NY08198,2024-06-02 16:00:00.000,7.89
562640,36005NY11534,2024-06-02 16:00:00.000,11.49
562641,36061NY08653,2024-06-02 16:00:00.000,11.78
562642,36061NY12380,2024-06-02 16:00:00.000,13.79
562653,36061NY09734,2024-06-02 16:00:00.000,12.16
562654,36081NY07615,2024-06-02 16:00:00.000,11.0
562655,36085NY04805,2024-06-02 16:00:00.000,12.12
562656,36061NY08552,2024-06-02 17:00:00.000,12.29
562657,36005NY12387,2024-06-02 17:00:00.000,11.94
562658,36061NY08454,2024-06-02 17:00:00.000,14.02
562659,36081NY08198,2024-06-02 17:00:00.000,8.15
562660,36005NY11534,2024-06-02 17:00:00.000,12.72
562661,36061NY08653,2024-06-02 17:00:00.000,12.07
562662,36061NY12380,2024-06-02 17:00:00.000,13.7
562672,36061NY09734,2024-06-02 17:00:00.000,12.23
562673,36081NY07615,2024-06-02 17:00:00.000,11.68
562674,36085NY04805,2024-06-02 17:00:00.000,11.15
562675,36061NY08552,2024-06-02 18:00:00.000,12.94
562676,36005NY12387,2024-06-02 18:00:00.000,13.3
562677,36061NY08454,2024-06-02 18:00:00.000,13.98
562678,36081NY08198,2024-06-02 18:00:00.000,7.18
562679,36005NY11534,2024-06-02 18:00:00.000,13.69
562680,36061NY08653,2024-06-02 18:00:00.000,12.33
562681,36061NY12380,2024-06-02 18:00:00.000,14.32
562692,36061NY09734,2024-06-02 18:00:00.000,13.87
562693,36081NY07615,2024-06-02 18:00:00.000,11.02
562694,36085NY04805,2024-06-02 18:00:00.000,10.65
562695,36061NY08552,2024-06-02 19:00:00.000,13.78
562696,36005NY12387,2024-06-02 19:00:00.000,14.62
562697,36061NY08454,2024-06-02 19:00:00.000,14.56
562698,36081NY08198,2024-06-02 19:00:00.000,6.58
562699,36005NY11534,2024-06-02 19:00:00.000,13.72
562700,36061NY08653,2024-06-02 19:00:00.000,12.58
562701,36081NY07615,2024-06-02 19:00:00.000,10.68
562702,36061NY12380,2024-06-02 19:00:00.000,16.85
562713,36061NY09734,2024-06-02 19:00:00.000,14.15
562714,36085NY04805,2024-06-02 19:00:00.000,11.85
562715,36061NY08552,2024-06-02 20:00:00.000,13.52
562716,36005NY12387,2024-06-02 20:00:00.000,14.48
562717,36061NY08454,2024-06-02 20:00:00.000,15.49
562718,36081NY08198,2024-06-02 20:00:00.000,10.89
562719,36005NY11534,2024-06-02 20:00:00.000,13.35
562720,36061NY08653,2024-06-02 20:00:00.000,13.09
562721,36081NY07615,2024-06-02 20:00:00.000,11.36
562722,36061NY12380,2024-06-02 20:00:00.000,16.95
562733,36061NY09734,2024-06-02 20:00:00.000,13.93
562734,36085NY04805,2024-06-02 20:00:00.000,13.36
562735,36061NY08552,2024-06-02 21:00:00.000,15.03
562736,36005NY12387,2024-06-02 21:00:00.000,15.2
562737,36061NY08454,2024-06-02 21:00:00.000,16.04
562738,36081NY08198,2024-06-02 21:00:00.000,11.35
562739,36005NY11534,2024-06-02 21:00:00.000,14.57
562740,36061NY08653,2024-06-02 21:00:00.000,14.35
562741,36081NY07615,2024-06-02 21:00:00.000,12.13
562742,36061NY12380,2024-06-02 21:00:00.000,18.65
562753,36061NY09734,2024-06-02 21:00:00.000,15.94
562754,36085NY04805,2024-06-02 21:00:00.000,15.2
562755,36061NY08552,2024-06-02 22:00:00.000,16.18
562756,36005NY12387,2024-06-02 22:00:00.000,16.03
